index,cell_type,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SLC25A33,Fibroblasts,0.09943087773227441,-0.20737203644233945,0.23756071191933886,2.188228329257172,0.028652974525493872,0.06322400997572133
TMEM201,Fibroblasts,0.0158596304735163,-0.04077819948492338,0.5643193271969793,0.7170287465056644,0.47335635935423825,
PIK3CD,Fibroblasts,0.013027249955743118,0.028485492219916194,0.6980046861523144,0.5973384652238155,0.5502814281867647,
CLSTN1,Fibroblasts,0.3142191793526331,-0.5869374340406055,0.1289446270766205,-0.4234561936499234,0.6719624533003664,0.7118129799765661
CTNNBIP1,Fibroblasts,0.10794096353809106,-0.53656846725921,0.2689436590575534,1.7864970396363355,0.0740188161260134,0.11976743198472845
LZIC,Fibroblasts,0.15608491503283214,-0.41833111505097537,0.19350631176407956,1.6739429432222672,0.09414181337808841,0.14064764315609968
NMNAT1,Fibroblasts,0.03818976851990454,-0.11891570643218316,0.4221103459308114,1.3506141016404443,0.17681908118903167,
RBP7,Fibroblasts,0.012884352787985557,-0.003150120405552824,0.8130462306902825,0.4168790826586197,0.676766854098868,
UBE4B,Fibroblasts,0.05824430158176367,-0.1339179584252169,0.37980660810753175,1.5409278117604204,0.12333435612600108,
KIF1B,Fibroblasts,0.24603210747968693,-0.4402420025445508,0.14576875606877213,1.0013109195586893,0.31667651538112174,0.36935700411603184
PGD,Fibroblasts,0.17190554272654324,-0.3642966359857065,0.17576712910967374,1.7323899159416891,0.08320416221205108,0.12953055887638787
APITD1,Fibroblasts,0.048759951909084796,-0.03567806322482529,0.3804442687112996,1.574083107734942,0.11546823728612857,
DFFA,Fibroblasts,0.15570692883083045,-0.38947651291000474,0.2085873117429924,1.7056173450605066,0.08807934782500405,0.13440884449923582
PEX14,Fibroblasts,0.07800825953765894,-0.10067160391916997,0.3318534186703496,1.7685468478739057,0.07696952756675984,0.12257015618276727
CASZ1,Fibroblasts,0.0037708252526207587,-0.0009532346581741636,0.6989025620373019,0.31461848918573176,0.7530513392367476,
TARDBP,Fibroblasts,0.247529705829334,-0.1282186566572661,0.1282302818005656,2.289225784952825,0.02206623717432105,0.052043143708356054
SRM,Fibroblasts,0.6985183500371266,-0.2572326398339302,0.07613900995756068,-2.5375874533362017,0.011161947625698184,0.03049898194104188
EXOSC10,Fibroblasts,0.1358838030736807,0.0647770330353024,0.2529893034048381,2.5142834008229875,0.011927454388860734,0.03208296178732821
MTOR,Fibroblasts,0.025830013381698803,-0.05235334123971468,0.48905794829065957,1.0543773986360616,0.2917101657004675,
UBIAD1,Fibroblasts,0.08006631647142888,0.0001947394522042673,0.32875734122418443,2.0083776780557323,0.0446031730887512,0.08509246128096709
FBXO2,Fibroblasts,0.012706387895683907,-0.018673581497516377,0.5741843065561851,0.7233013175575961,0.46949478351658647,
FBXO44,Fibroblasts,0.05933811348708735,-0.0879444216304527,0.3356538409875938,1.817466332953265,0.0691457388681578,
FBXO6,Fibroblasts,0.06161987014669625,-0.12857378759461452,0.38256036064489907,1.4961567687757507,0.1346128072791277,
MAD2L2,Fibroblasts,0.24807268829453294,-0.3320706390989404,0.1164521786895168,1.0157424540864188,0.3097520457130025,0.3628107490727827
AGTRAP,Fibroblasts,0.4957233187645286,-0.6545010427005269,0.07944194291772985,-5.807007582693899,6.359925732937704e-09,3.974022213208856e-08
C1orf167,Fibroblasts,0.054996480830547576,-0.1937725829753387,0.3650551242547208,1.475291253103387,0.14013425701422663,
MTHFR,Fibroblasts,0.09012095307071373,-0.37293326298191587,0.32370395152419823,1.6198641816423311,0.10526145555177409,0.15217566091095783
CLCN6,Fibroblasts,0.03469636504817814,-0.2742841556661184,0.518460863242699,1.0738855092594428,0.2828739987555904,
KIAA2013,Fibroblasts,0.14451898100219548,-0.656415958498307,0.22487100160649165,1.3940742005345872,0.16329519905938372,0.21287102852241938
PLOD1,Fibroblasts,0.2602887009953999,-0.2159144972803745,0.12489708516201424,1.4291779923162986,0.15295308144833691,0.20199870165807068
MFN2,Fibroblasts,0.06677012618306183,-0.010211107792910526,0.3302840513849795,1.8386270284866564,0.0659700630055868,
MIIP,Fibroblasts,0.10425707978971063,-0.3930515480933323,0.2577070866734105,1.7203212020647856,0.08537407153827976,0.13176688552631977
TNFRSF1B,Fibroblasts,0.05058397027245279,0.9666893079464656,0.5749318849214902,1.8983549484878584,0.05764934005821255,
VPS13D,Fibroblasts,0.07312906962572213,-0.3869993542897485,0.39939658010035195,1.45025972614037,0.14698610533086215,0.19582444086695072
DHRS3,Fibroblasts,0.7097979985518886,1.4244590735764027,0.1754529827934129,7.62405981162351,2.45819378110892e-14,2.1171087616540145e-13
RP11-474O21.5,Fibroblasts,0.017351001382743314,0.057244069431104785,0.9506365528043809,0.5422830432738968,0.5876235350981008,
PDPN,Fibroblasts,0.683915062146444,-0.9103050179207729,0.0763201212565092,-10.687559822871611,1.1639300290024485e-26,1.633658933564151e-25
PRDM2,Fibroblasts,0.186446962230475,-0.2718648818056639,0.19306185594826147,2.0562399522215475,0.039759393063004016,0.07889857886754036
KAZN,Fibroblasts,0.0651735937327605,-0.44563761032993054,0.3489118524035293,1.47226850183924,0.1409483855339697,
TMEM51,Fibroblasts,0.008012334538784586,0.01258671702436927,0.7170898227558177,0.4871843148970209,0.6261277197497083,
FHAD1,Fibroblasts,0.024412400743021243,-0.14436901228598448,0.4826481353661632,1.101056829397354,0.27087192435301,
EFHD2,Fibroblasts,0.25087736811359834,-1.1632356295036708,0.12276764870214642,-4.7402328384296695,2.134727606018896e-06,1.0777559860813453e-05
CASP9,Fibroblasts,0.044429245733267016,-0.6191019139208969,0.42026358653293916,1.3892384326293445,0.1647602585459037,
DNAJC16,Fibroblasts,0.04288940277877963,-0.0008615385489551739,0.4232381171275358,1.4763702143126647,0.13984453423235577,
DDI2,Fibroblasts,0.06627710893734444,-0.06895353833037424,0.34697015155842387,1.7289040208332827,0.08382627432921064,
PLEKHM2,Fibroblasts,0.14237599125662437,-0.904491307959105,0.2195976786196247,0.782488139742767,0.4339277528354759,0.487678887781833
FBLIM1,Fibroblasts,0.02224616112836481,0.02988412803662809,0.556745220147895,0.9725837001100708,0.330760246992718,
UQCRHL,Fibroblasts,0.054697635246651846,0.052148629712087606,0.41124212052587056,1.627375964120806,0.10365727316808915,
FLJ37453,Fibroblasts,0.044514959015572605,-1.4927254060567148,0.554714116998652,0.9144923897885039,0.3604581748905361,
SPEN,Fibroblasts,0.2120164208075143,-0.6156740386004135,0.1938150195910607,0.9750400450393851,0.3295403965092114,0.3826276070182369
ZBTB17,Fibroblasts,0.05726424846853324,-0.08254344070914883,0.3569229420650201,1.6869992882633602,0.09160348881419698,
HSPB7,Fibroblasts,0.02460199804725194,0.042560086657614155,0.6674055720302657,0.8919128218373151,0.372439661602441,
